file_a: /home/margotte/shap-text-gpu/out/sample0_shap_linear.txt
file_b: /home/margotte/shap-text-gpu/out/sample0_shap_permutation.txt
n_compared: 64
mean_diff: -6.137952368959568e-10
mean_abs_diff: 4.459203799850402e-09
idx	token_id	token_str	shap_a	shap_b	diff	abs_diff
0	101	[CLS]	0.00011860670929308981	0.00011860978390489305	3.0746118032467813e-09	3.0746118032467813e-09
1	3649	whatever	-0.005685110110789537	-0.005685113902602877	-3.791813339877603e-09	3.791813339877603e-09
2	2017	you	0.0009525128989480436	0.0009525093649114881	-3.5340365554760098e-09	3.5340365554760098e-09
3	2079	do	-0.0026364328805357218	-0.0026364345103502274	-1.6298145055770874e-09	1.6298145055770874e-09
4	1010	,	-0.0020628320053219795	-0.0020628300096307483	1.9956912311949737e-09	1.9956912311949737e-09
5	2123	don	-0.0009365108562633395	-0.0009365156292915344	-4.773028194904327e-09	4.773028194904327e-09
6	1005	'	0.00041676979162730277	0.00041676871478557587	-1.076841726899147e-09	1.076841726899147e-09
7	1056	t	0.0007460017804987729	0.0007460058799811772	4.099482404365182e-09	4.099482404365182e-09
8	2644	stop	-0.002931874943897128	-0.0029318793011563165	-4.357259188441515e-09	4.357259188441515e-09
9	3666	watching	-0.0046799760311841965	-0.004679977095552853	-1.0643686565794952e-09	1.0643686565794952e-09
10	2043	when	5.92113719903864e-05	5.920843354293278e-05	-2.93844745361476e-09	2.93844745361476e-09
11	2017	you	0.0005924595752730966	0.0005924573966435023	-2.1786295942207573e-09	2.1786295942207573e-09
12	2228	think	0.0016476584132760763	0.0016476506633417948	-7.749934281559706e-09	7.749934281559706e-09
13	1996	the	0.0005061405245214701	0.0005061325750180653	-7.949503404722572e-09	7.949503404722572e-09
14	3185	movie	0.0018637694884091616	0.0018637675259794509	-1.9624297107039695e-09	1.9624297107039695e-09
15	2003	is	-0.0022254919167608023	-0.002225492681775774	-7.650149719436172e-10	7.650149719436172e-10
16	2058	over	-0.0012123353080824018	-0.0012123310672385351	4.24084386661458e-09	4.24084386661458e-09
17	999	!	-0.00019528290431480855	-0.00019527945135320936	3.4529615991843194e-09	3.4529615991843194e-09
18	6865	hang	-0.015382221899926662	-0.01538221990423543	1.9956912320623355e-09	1.9956912320623355e-09
19	2105	around	0.0018306875135749578	0.0018306920038802283	4.490305270405531e-09	4.490305270405531e-09
20	2005	for	0.002000178210437298	0.0020001823348658426	4.124428544787645e-09	4.124428544787645e-09
21	1996	the	0.0010528487619012594	0.0010528588401419775	1.0078240718098402e-08	1.0078240718098402e-08
22	2034	first	0.001515875686891377	0.0015158836862870625	7.999395685567498e-09	7.999395685567498e-09
23	14108	batch	-0.007869690656661987	-0.007869689858385496	7.982764917841001e-10	7.982764917841001e-10
24	1997	of	-0.005545331630855799	-0.005545328238180706	3.3926750931181915e-09	3.3926750931181915e-09
25	6495	credits	0.0001342195610050112	0.0001342184841632843	-1.076841726899147e-09	1.076841726899147e-09
26	2030	or	-0.004597563296556473	-0.004597561966095652	1.3304608205075286e-09	1.3304608205075286e-09
27	2017	you	-0.0018094300758093596	-0.001809434433068548	-4.357259188441515e-09	4.357259188441515e-09
28	1005	'	0.0003434362879488617	0.0003434249332972935	-1.1354651568214625e-08	1.1354651568214625e-08
29	2222	ll	-4.182389966445044e-05	-4.182516464165279e-05	-1.2649772023525722e-09	1.2649772023525722e-09
30	2428	really	0.002628908259794116	0.00262890915785517	8.980610539076339e-10	8.980610539076339e-10
31	3335	miss	-0.0014334096340462565	-0.001433404694710459	4.939335797576189e-09	4.939335797576189e-09
32	2242	something	-0.00435300450772047	-0.004352992932711329	1.1575009141277792e-08	1.1575009141277792e-08
33	999	!	-0.00020972949278075248	-0.00020973810127803257	-8.60849728008756e-09	8.60849728008756e-09
34	2057	we	-0.00021101308811921626	-0.000211005232163838	7.85595537827386e-09	7.85595537827386e-09
35	2387	saw	0.0031049642711877823	0.003104965867740767	1.5965529848692428e-09	1.5965529848692428e-09
36	2023	this	-0.0026644342578947544	-0.002664439646261079	-5.388366324746846e-09	5.388366324746846e-09
37	3185	movie	-0.0036161148454993963	-0.0036161188036203384	-3.958120942115784e-09	3.958120942115784e-09
38	2012	at	-0.0023555567022413015	-0.0023555627890995572	-6.086858255708455e-09	6.086858255708455e-09
39	1996	the	0.0010572860483080149	0.0010572815580027445	-4.490305270405531e-09	4.490305270405531e-09
40	28350	sava	0.0390673503279686	0.0390673503279686	0.0	0.0
41	2532	##na	0.0012340975226834416	0.001234091552240508	-5.97044293366468e-09	5.97044293366468e-09
42	4430	##ah	0.010211861692368984	0.010211862889783723	1.1974147385435119e-09	1.1974147385435119e-09
43	2143	film	0.002376964082941413	0.002376958727836609	-5.3551048040390015e-09	5.3551048040390015e-09
44	2782	festival	9.961631440091878e-05	9.961452867303575e-05	-1.7857278830277473e-09	1.7857278830277473e-09
45	1998	and	-0.0013746008044108748	-0.0013746023178100586	-1.5133991837501526e-09	1.5133991837501526e-09
46	2245	thought	-0.0005902543780393898	-0.0005902498960494995	4.48198989033699e-09	4.48198989033699e-09
47	2009	it	-0.0027869499754160643	-0.0027869540665830883	-4.0911670240798e-09	4.0911670240798e-09
48	2001	was	-0.0021051024086773396	-0.002105103273476873	-8.647995336334702e-10	8.647995336334702e-10
49	1996	the	-0.0029786659870296717	-0.002978656440973282	9.546056389808655e-09	9.546056389808655e-09
50	2190	best	0.004064938053488731	0.004064942310963359	4.2574746271853425e-09	4.2574746271853425e-09
51	1997	of	-0.002787464763969183	-0.002787461504340172	3.259629011154175e-09	3.259629011154175e-09
52	1996	the	-0.000466959725599736	-0.00046696726764951436	-7.54204977838251e-09	7.54204977838251e-09
53	9129	bunch	0.004170323722064495	0.004170329709138189	5.987073693584921e-09	5.987073693584921e-09
54	1012	.	0.0011075605871155858	0.0011075631316219056	2.5445063198386436e-09	2.5445063198386436e-09
55	2852	dr	0.005928780883550644	0.005928777424352509	-3.4591981345338807e-09	3.4591981345338807e-09
56	3240	##ey	0.0009691570303402841	0.0009691457131079265	-1.131723235763514e-08	1.131723235763514e-08
57	2050	##a	-0.0009114217828027904	-0.0009114210094724383	7.733303521205784e-10	7.733303521205784e-10
58	13351	weber	-0.01794399879872799	-0.01794399693608284	1.862645149230957e-09	1.862645149230957e-09
59	2003	is	0.00043317172094248235	0.00043317915073462894	7.4297921465898455e-09	7.4297921465898455e-09
60	1037	a	-0.0015509413788095117	-0.0015509376036269324	3.7751825793068405e-09	3.7751825793068405e-09
61	8348	marvel	-0.0030277352780103683	-0.003027750179171562	-1.4901161193847656e-08	1.4901161193847656e-08
62	2428	really	-0.001807944499887526	-0.0018079496387924468	-5.138904920739054e-09	5.138904920739054e-09
63	102	[SEP]	-2.785832475638017e-05	-2.786836453846523e-05	-1.0039782085057784e-08	1.0039782085057784e-08
