file_a: /home/margotte/shap-text-gpu/out/sample0_shap_linear.txt
file_b: /home/margotte/shap-text-gpu/out/sample0_shap.txt
n_compared: 64
mean_diff: 0.0009619583040361245
mean_abs_diff: 0.0037487670021931385
idx	token_id	token_str	shap_a	shap_b	diff	abs_diff
0	101	[CLS]	0.00011860670929308981	-0.000591866	-0.0007104727092930898	0.0007104727092930898
1	3649	whatever	-0.005685110110789537	0.000288967	0.005974077110789538	0.005974077110789538
2	2017	you	0.0009525128989480436	-4.65093e-05	-0.0009990221989480436	0.0009990221989480436
3	2079	do	-0.0026364328805357218	0.000740416	0.0033768488805357216	0.0033768488805357216
4	1010	,	-0.0020628320053219795	0.00021298	0.0022758120053219797	0.0022758120053219797
5	2123	don	-0.0009365108562633395	0.000208385	0.0011448958562633395	0.0011448958562633395
6	1005	'	0.00041676979162730277	0.00308031	0.0026635402083726974	0.0026635402083726974
7	1056	t	0.0007460017804987729	-0.000391097	-0.0011370987804987728	0.0011370987804987728
8	2644	stop	-0.002931874943897128	-0.000173655	0.002758219943897128	0.002758219943897128
9	3666	watching	-0.0046799760311841965	0.00561047	0.010290446031184196	0.010290446031184196
10	2043	when	5.92113719903864e-05	0.00216527	0.0021060586280096136	0.0021060586280096136
11	2017	you	0.0005924595752730966	-0.00031457	-0.0009070295752730966	0.0009070295752730966
12	2228	think	0.0016476584132760763	0.00270456	0.0010569015867239236	0.0010569015867239236
13	1996	the	0.0005061405245214701	-0.000688175	-0.0011943155245214701	0.0011943155245214701
14	3185	movie	0.0018637694884091616	-0.000321296	-0.0021850654884091616	0.0021850654884091616
15	2003	is	-0.0022254919167608023	-0.000161926	0.002063565916760802	0.002063565916760802
16	2058	over	-0.0012123353080824018	-0.000721342	0.0004909933080824017	0.0004909933080824017
17	999	!	-0.00019528290431480855	-0.000402956	-0.00020767309568519145	0.00020767309568519145
18	6865	hang	-0.015382221899926662	-8.26376e-05	0.015299584299926663	0.015299584299926663
19	2105	around	0.0018306875135749578	-0.00049307	-0.002323757513574958	0.002323757513574958
20	2005	for	0.002000178210437298	-0.000333726	-0.0023339042104372977	0.0023339042104372977
21	1996	the	0.0010528487619012594	-0.000667132	-0.0017199807619012594	0.0017199807619012594
22	2034	first	0.001515875686891377	0.00561039	0.004094514313108623	0.004094514313108623
23	14108	batch	-0.007869690656661987	0.00318049	0.011050180656661987	0.011050180656661987
24	1997	of	-0.005545331630855799	0.00256884	0.008114171630855798	0.008114171630855798
25	6495	credits	0.0001342195610050112	1.76782e-05	-0.0001165413610050112	0.0001165413610050112
26	2030	or	-0.004597563296556473	-0.00126321	0.003334353296556473	0.003334353296556473
27	2017	you	-0.0018094300758093596	-0.000217571	0.0015918590758093596	0.0015918590758093596
28	1005	'	0.0003434362879488617	0.00309068	0.0027472437120511384	0.0027472437120511384
29	2222	ll	-4.182389966445044e-05	0.00243682	0.0024786438996644506	0.0024786438996644506
30	2428	really	0.002628908259794116	-0.0005655	-0.003194408259794116	0.003194408259794116
31	3335	miss	-0.0014334096340462565	-0.000195997	0.0012374126340462565	0.0012374126340462565
32	2242	something	-0.00435300450772047	0.000503597	0.00485660150772047	0.00485660150772047
33	999	!	-0.00020972949278075248	0.00043201	0.0006417394927807525	0.0006417394927807525
34	2057	we	-0.00021101308811921626	-0.00073313	-0.0005221169118807838	0.0005221169118807838
35	2387	saw	0.0031049642711877823	0.0026219	-0.00048306427118778236	0.00048306427118778236
36	2023	this	-0.0026644342578947544	0.00331323	0.005977664257894755	0.005977664257894755
37	3185	movie	-0.0036161148454993963	-0.000937975	0.0026781398454993966	0.0026781398454993966
38	2012	at	-0.0023555567022413015	-0.000642562	0.0017129947022413016	0.0017129947022413016
39	1996	the	0.0010572860483080149	2.13979e-05	-0.001035888148308015	0.001035888148308015
40	28350	sava	0.0390673503279686	-0.000824478	-0.0398918283279686	0.0398918283279686
41	2532	##na	0.0012340975226834416	-0.000870992	-0.0021050895226834418	0.0021050895226834418
42	4430	##ah	0.010211861692368984	-9.14671e-05	-0.010303328792368983	0.010303328792368983
43	2143	film	0.002376964082941413	-0.000168957	-0.002545921082941413	0.002545921082941413
44	2782	festival	9.961631440091878e-05	-0.000328507	-0.0004281233144009188	0.0004281233144009188
45	1998	and	-0.0013746008044108748	-0.000447511	0.0009270898044108748	0.0009270898044108748
46	2245	thought	-0.0005902543780393898	-0.00050925	8.10043780393898e-05	8.10043780393898e-05
47	2009	it	-0.0027869499754160643	-0.000100921	0.0026860289754160644	0.0026860289754160644
48	2001	was	-0.0021051024086773396	0.00263586	0.00474096240867734	0.00474096240867734
49	1996	the	-0.0029786659870296717	0.00246579	0.0054444559870296715	0.0054444559870296715
50	2190	best	0.004064938053488731	0.00257886	-0.0014860780534887313	0.0014860780534887313
51	1997	of	-0.002787464763969183	-0.000362594	0.002424870763969183	0.002424870763969183
52	1996	the	-0.000466959725599736	0.00240598	0.002872939725599736	0.002872939725599736
53	9129	bunch	0.004170323722064495	7.85694e-05	-0.004091754322064495	0.004091754322064495
54	1012	.	0.0011075605871155858	-0.000291476	-0.0013990365871155857	0.0013990365871155857
55	2852	dr	0.005928780883550644	-0.000195734	-0.006124514883550644	0.006124514883550644
56	3240	##ey	0.0009691570303402841	0.00054926	-0.0004198970303402841	0.0004198970303402841
57	2050	##a	-0.0009114217828027904	-0.00100292	-9.149821719720962e-05	9.149821719720962e-05
58	13351	weber	-0.01794399879872799	-0.000702895	0.01724110379872799	0.01724110379872799
59	2003	is	0.00043317172094248235	-0.000254343	-0.0006875147209424823	0.0006875147209424823
60	1037	a	-0.0015509413788095117	0.00252746	0.004078401378809512	0.004078401378809512
61	8348	marvel	-0.0030277352780103683	0.00308331	0.006111045278010369	0.006111045278010369
62	2428	really	-0.001807944499887526	0.0023109	0.0041188444998875254	0.0041188444998875254
63	102	[SEP]	-2.785832475638017e-05	-0.000560813	-0.0005329546752436198	0.0005329546752436198
