file_a: /home/margotte/shap-text-gpu/out/sample0_shap_permutation.txt
file_b: /home/margotte/shap-text-gpu/out/sample0_shap.txt
n_compared: 64
mean_diff: 0.0009619589178313614
mean_abs_diff: 0.0037487677016432874
idx	token_id	token_str	shap_a	shap_b	diff	abs_diff
0	101	[CLS]	0.00011860978390489305	-0.000591866	-0.0007104757839048931	0.0007104757839048931
1	3649	whatever	-0.005685113902602877	0.000288967	0.0059740809026028775	0.0059740809026028775
2	2017	you	0.0009525093649114881	-4.65093e-05	-0.000999018664911488	0.000999018664911488
3	2079	do	-0.0026364345103502274	0.000740416	0.003376850510350227	0.003376850510350227
4	1010	,	-0.0020628300096307483	0.00021298	0.0022758100096307485	0.0022758100096307485
5	2123	don	-0.0009365156292915344	0.000208385	0.0011449006292915344	0.0011449006292915344
6	1005	'	0.00041676871478557587	0.00308031	0.0026635412852144243	0.0026635412852144243
7	1056	t	0.0007460058799811772	-0.000391097	-0.0011371028799811772	0.0011371028799811772
8	2644	stop	-0.0029318793011563165	-0.000173655	0.0027582243011563166	0.0027582243011563166
9	3666	watching	-0.004679977095552853	0.00561047	0.010290447095552853	0.010290447095552853
10	2043	when	5.920843354293278e-05	0.00216527	0.0021060615664570672	0.0021060615664570672
11	2017	you	0.0005924573966435023	-0.00031457	-0.0009070273966435024	0.0009070273966435024
12	2228	think	0.0016476506633417948	0.00270456	0.0010569093366582052	0.0010569093366582052
13	1996	the	0.0005061325750180653	-0.000688175	-0.0011943075750180652	0.0011943075750180652
14	3185	movie	0.0018637675259794509	-0.000321296	-0.002185063525979451	0.002185063525979451
15	2003	is	-0.002225492681775774	-0.000161926	0.002063566681775774	0.002063566681775774
16	2058	over	-0.0012123310672385351	-0.000721342	0.0004909890672385351	0.0004909890672385351
17	999	!	-0.00019527945135320936	-0.000402956	-0.00020767654864679063	0.00020767654864679063
18	6865	hang	-0.01538221990423543	-8.26376e-05	0.015299582304235431	0.015299582304235431
