sample=10
orig_idx	token_id	token_str	shap_value
9	5181	wet	2.08741
46	1343	plot	1.61643
10	8355	dream	1.37095
86	4814	obsessed	1.36478
78	622	they	1.34307
121	207	nothing	1.13795
19	272	off	1.06675
74	1430	three	0.955369
67	890	spend	0.900135
23	6449	prologue	0.883411
58	11158	nerd	0.837223
13	13546	slasher	0.823748
106	369	house	0.80225
37	1815	forward	0.777993
75	198	guys	0.773461
126	76	do	0.760563
15	737	admirer	0.741017
28	2592	unrelated	0.737919
120	76	do	0.692298
111	1532	nowhere	0.681774
98	19	have	0.645721
100	3206	bunch	0.624319
122	57	but	0.618207
36	7257	flash	0.617534
115	449	night	0.585777
123	19	have	0.567165
24	209	which	0.559489
43	8377	meat	0.559163
81	7690	lucky	0.538504
91	11529	boob	0.525842
64	350	gets	0.521095
127	2574	drugs	0.435094
51	1967	lane	0.425151
33	31	the	0.299709
12	31	the	0.289054
30	31	the	0.281691
41	31	the	0.263407
108	31	the	0.263232
48	31	the	0.257695
109	448	middle	0.248053
20	126	with	0.232236
45	31	the	0.221922
87	126	with	0.184139
56	14142	jock	0.181607
29	7	to	0.151579
66	7	to	0.149279
38	5963	nine	0.136823
119	7	to	0.126223
80	114	get	0.104723
85	12768	bimbos	0.100208
35	18	.	0.0721814
76	347	who	0.0710345
31	361	rest	0.0705897
93	18	.	0.0681103
96	18	.	0.0626766
117	347	who	0.0567106
16	18	.	0.0526735
118	602	want	0.0521262
18	2229	start	0.0496731
26	513	pretty	0.0424663
95	18	.	0.0405752
8	9	a	0.00213981
21	9	a	0.00125472
68	9	a	-0.0196531
71	9	a	-0.020268
5	10	fan	-0.0211836
99	9	a	-0.0231389
105	9	a	-0.0252646
113	9	a	-0.0258956
102	2255	young	-0.0315923
22	9077	gory	-0.082632
79	40	can	-0.0839024
49	17063	virginal	-0.0849199
44	11	of	-0.0966975
110	11	of	-0.101342
101	11	of	-0.11273
32	11	of	-0.123644
94	26	so	-0.145251
103	1667	students	-0.194072
1	11	of	-0.200919
60	708	her	-0.201327
11	222	for	-0.224882
27	228	much	-0.244232
125	14	,	-0.255746
104	82	in	-0.25704
107	82	in	-0.263804
124	2980	sex	-0.264478
59	82	in	-0.266548
6	5076	service	-0.27778
116	14	,	-0.288421
42	474	real	-0.307117
72	10487	ranch	-0.310915
73	167	by	-0.320987
62	14	,	-0.324578
82	14	,	-0.334498
7	14	,	-0.347444
54	167	by	-0.355174
69	3829	weekend	-0.369592
25	41	is	-0.377118
114	1691	dark	-0.385672
112	135	on	-0.391051
52	41	is	-0.406476
97	310	you	-0.437871
17	780	we	-0.459028
2	70	this	-0.508315
70	90	at	-0.51234
55	190	every	-0.54439
63	33	and	-0.556284
34	63	film	-0.563821
83	33	and	-0.582809
57	33	and	-0.650737
47	1749	begins	-0.655398
40	33	and	-0.67634
90	33	and	-0.685385
88	837	their	-0.702201
3	63	film	-0.704787
92	18463	size	-0.761733
53	1	<unk>	-0.777471
4	145	as	-0.781055
89	7781	weight	-0.786955
50	1	<unk>	-0.812604
39	4462	months	-0.82984
84	595	two	-0.841112
61	3631	school	-0.920421
77	1092	think	-0.921393
14	3413	genre	-1.01643
65	20111	invited	-1.13151
0	1092	think	-1.28931
