sample=0 explainer=linear target=0 sample_size=64
detokenized_full_text: think of this film as fan service, a wet dream for the slasher genre admirer. we start off with a gory prologue which is pretty much unrelated to the rest of the film. flash forward nine months and the real meat of the plot begins : the virginal mandy lane is coveted by every jock
idx	token_id	token_str	shap_value
0	101	[CLS]	0.00011860670929308981
1	2228	think	-0.0034712045453488827
2	1997	of	0.0009430679492652416
3	2023	this	-0.0025654176715761423
4	2143	film	-0.004376879893243313
5	2004	as	-0.0008840168011374772
6	5470	fan	0.002268388867378235
7	2326	service	0.0016431817784905434
8	1010	,	-0.0011199674336239696
9	1037	a	-0.001323823002167046
10	4954	wet	0.00014357961481437087
11	3959	dream	0.0011628891807049513
12	2005	for	0.0014827447012066841
13	1996	the	0.0005061405245214701
14	18296	slash	0.010706287808716297
15	2121	##er	-0.0023565993178635836
16	6907	genre	-0.004068804904818535
17	19837	admire	-0.0038777044974267483
18	2099	##r	-0.0047031729482114315
19	1012	.	0.0008801215444691479
20	2057	we	0.0020520531106740236
21	2707	start	0.001427886658348143
22	2125	off	0.0015836950624361634
23	2007	with	-0.001119539956562221
24	1037	a	-0.0028795739635825157
25	2175	go	4.4946500565856695e-05
26	2854	##ry	-0.006463766098022461
27	18877	prologue	-0.016934363171458244
28	2029	which	0.0006933654076419771
29	2003	is	-3.770173861994408e-05
30	3492	pretty	0.0037809505593031645
31	2172	much	-0.0009335429640486836
32	15142	unrelated	-0.029399283230304718
33	2000	to	-0.00041987886652350426
34	1996	the	-0.00020475553174037486
35	2717	rest	0.0035342220216989517
36	1997	of	-0.002630190458148718
37	1996	the	-0.0022661741822957993
38	2143	film	-0.002508925274014473
39	1012	.	0.0005360588547773659
40	5956	flash	0.008207589387893677
41	2830	forward	0.0013793428661301732
42	3157	nine	0.007277391850948334
43	2706	months	0.003001430304720998
44	1998	and	7.154327613534406e-05
45	1996	the	-0.0013732247753068805
46	2613	real	-0.000687008781824261
47	6240	meat	-0.008656330406665802
48	1997	of	-0.0021008942276239395
49	1996	the	-0.0029786659870296717
50	5436	plot	0.010089956223964691
51	4269	begins	-0.00595878204330802
52	1024	:	-0.00023956250515766442
53	1996	the	0.0009118157904595137
54	6261	virgin	0.006852209568023682
55	2389	##al	0.004966289736330509
56	18193	mandy	0.005441936664283276
57	4644	lane	-0.002064703730866313
58	2003	is	-0.002692070323973894
59	28821	coveted	0.006232871674001217
60	2011	by	-0.0030076594557613134
61	2296	every	-0.0008327360264956951
62	23407	jock	-0.01742938905954361
63	102	[SEP]	-2.785832475638017e-05
