feature_idx,token_id,shap_value
0,70,-0.582788
1,41,-0.528214
2,233,-0.0540256
3,11,-0.135393
4,31,0.331286
5,982,1.54598
6,5526,0.172309
7,2,0.171813
8,19,0.63445
9,1394,-0.158668
10,1065,0.312639
11,135,-0.640503
12,387,-0.639927
13,18,-0.0326337
14,2,0.191713
15,3531,0.637592
16,783,0.499913
17,31,0.30779
18,73,-0.440241
19,499,0.479581
20,4707,0.289665
21,47,-0.415741
22,138,0.346923
23,11205,0.200884
24,57,0.526848
25,47,-0.468978
26,20,0.637703
27,317,0.324094
28,376,-0.331222
29,197,0.995583
30,7,0.073127
31,1180,0.923301
32,18,-0.0401205
33,13682,0.937951
34,7,0.0516413
35,79,-0.666994
36,2,0.144708
37,631,0.275521
38,17,0.205723
39,473,-0.391797
40,2151,1.17491
41,7,0.0781412
42,3359,1.34899
43,783,0.411169
44,31,0.243434
45,8931,0.947519
46,11,-0.0576812
47,9,0.0249302
48,946,0.311537
49,13618,-0.070885
50,171,-0.0703552
51,18,-0.00932442
52,39,0.393557
53,88,-0.113761
54,12072,0.0404976
55,18132,-0.615319
56,1108,0.591019
57,700,-0.355006
58,370,-0.429728
59,100,0.0519769
60,70,-0.437836
61,199,0.774967
62,199,0.980096
63,199,0.697737
64,199,0.95854
65,199,0.739417
66,0,-0.14141
67,0,-0.118624
68,0,-0.107687
69,0,-0.145052
70,0,-0.13832
71,0,-0.10244
72,0,-0.134974
73,0,-0.124344
74,0,-0.115969
75,0,-0.115314
76,0,-0.122956
77,0,-0.115676
78,0,-0.146291
79,0,-0.109596
80,0,-0.131128
81,0,-0.140411
82,0,-0.132213
83,0,-0.0994455
84,0,-0.138734
85,0,-0.115126
86,0,-0.122719
87,0,-0.0977668
88,0,-0.130406
89,0,-0.107312
90,0,-0.118551
91,0,-0.110952
92,0,-0.126033
93,0,-0.10362
94,0,-0.141139
95,0,-0.0940569
96,0,-0.143323
97,0,-0.108588
98,0,-0.118206
99,0,-0.110891
100,0,-0.124936
101,0,-0.102087
102,0,-0.0983456
103,0,-0.102196
104,0,-0.11091
105,0,-0.117494
106,0,-0.130679
107,0,-0.106092
108,0,-0.115215
109,0,-0.111801
110,0,-0.122229
111,0,-0.0935249
112,0,-0.15785
113,0,-0.118663
114,0,-0.135805
115,0,-0.112245
116,0,-0.128953
117,0,-0.122573
118,0,-0.109864
119,0,-0.108416
120,0,-0.134661
121,0,-0.118898
122,0,-0.119975
123,0,-0.128378
124,0,-0.123851
125,0,-0.151146
126,0,-0.138352
127,0,-0.129261
