feature_idx,token_id,shap_value
0,101,-0.000591908
1,7479,0.000288897
2,1012,-4.59462e-05
3,9964,0.000694119
4,2239,0.000212983
5,4179,0.000208376
6,1012,0.00302937
7,4012,-0.000359622
8,1013,-0.000173651
9,3301,0.00556784
10,22932,0.00338251
11,22932,-0.000268137
12,1013,0.00262493
13,9964,-0.000685477
14,1012,-0.000321292
15,16129,-0.000163325
16,2019,-0.000720738
17,6581,-0.000402954
18,2694,-8.24861e-05
19,2186,-0.0004932
20,2008,-0.000333739
21,2323,-0.000667131
22,2022,0.00560898
23,4110,0.00259344
24,2006,0.00256937
25,4966,1.76746e-05
26,1012,-0.000732161
27,2023,-0.000146141
28,2001,0.00314917
29,1037,0.00238663
30,2265,-0.000565443
31,1045,-0.000196068
32,6524,0.000503603
33,4771,0.000432007
34,1012,-0.000733273
35,1045,0.00254326
36,2179,0.00332239
37,1037,-0.000937966
38,9964,-0.000748724
39,2000,2.14053e-05
40,3288,-0.000818161
41,2009,-0.000871471
42,2067,-8.52525e-05
43,2006,-0.000146964
44,4966,-0.00143624
45,1012,-0.000446878
46,1045,-0.000445522
47,9131,-0.000100918
48,2028,0.00270039
49,2265,0.00248119
50,2073,0.00257415
51,2023,-0.000362593
52,15578,0.00320351
53,3366,7.85697e-05
54,3203,-0.000362118
55,5078,-0.000195741
56,1037,0.000546902
57,3940,-0.00173868
58,1997,-0.000381194
59,7877,-0.000234967
60,2008,0.00258448
61,2292,0.00272963
62,2014,0.0022866
63,102,-0.00056067
